Variable,Posición,Etiqueta
FOLIO_I,1,Folio
FOLIO_INT,2,Folio_Integrante
maquina,3,Maquina
hora_ini_1,4,Hora de Inicio 1
fecha_ini_1,5,Fecha de Inicio 1
hora_fin_1,6,Hora termino 1
fecha_fin_1,7,Fecha termino 1
tiempo1,8,Duración de la Entrevista 1
resultado_1,9,Resultado de entrevista 1
hora_ini_2,10,Hora de Inicio 2
fecha_ini_2,11,Fecha de Inicio 2
hora_fin_2,12,Hora de Termino 2
fecha_fin_2,13,Fecha de Termino 2
tiempo2,14,Duración de la Entrevista 2
resultado_2,15,Resultado de entrevista 2
hora_ini_3,16,Hora de Inicio 3
fecha_ini_3,17,Fecha de Inicio 3
hora_fin_3,18,Hora de Termino 3
fecha_fin_3,19,Fecha de Termino 3
tiempo3,20,Duración de la Entrevista 3
resultado_3,21,Resultado de entrevista 3
hora_ini_4,22,Hora de Inicio 4
fecha_ini_4,23,Fecha de Inicio 4
hora_fin_4,24,Hora de Termino 4
fecha_fin_4,25,Fecha de Termino 4
tiempo4,26,Duración de la Entrevista 4
resultado_4,27,Resultado de entrevista 4
hora_ini,28,Hora de Inicio
fecha_ini,29,Fecha de inicio
region,30,Region o zona de trabajo
entidad,31,Entidad
desc_ent,32,DESC_ENT
municipio,33,Municipio
desc_mun,34,DESC_MUN
vivienda,35,Vivienda
hogar,36,hogar
upm,37,Unidad primaria de muestreo
edad,38,Edad del Seleccionado
sexo,39,Sexo del Seleccionado
fech_nac,40,Fecha de Nacimiento
asexo,41,ASEXO ¿Cuál es el sexo de (NOMBRE) ?
aedad,42,AEDAD ¿Cuántos años cumplidos tiene actualmente (NOMBRE) ?
nota014,43,NOTA014
a0101,44,¿Alguna vez le ha dicho un médico/dietista/nutriólogo que tiene o tuvo obesidad?
a0102,45,¿Qué edad tenía cuando le diagnosticaron obesidad?
a0103,46,¿Siguió algún tratamiento para controlar su peso?
a0104,47,"Ahora le voy a mostrar unas figuras corporales, por favor, dígame qué figura siente que más se parece a usted en este momento"
a0105,48,¿Cuál es su peso habitual sin ropa y zapatos?
a0106,49,¿Considera que su peso actual es...
a0107,50,"Durante los últimos 12 meses, ¿ha perdido o ganado peso?"
a0108,51,¿Cuántos kilos fueron los que ganó (perdió)?
a0109,52,¿Esta pérdida de peso fue intencional?
A0110A,53,¿Las acciones que tomó para perder peso fueron...
A0110B,54,¿Las acciones que tomó para perder peso fueron...
A0110C,55,¿Las acciones que tomó para perder peso fueron...
A0110D,56,¿Las acciones que tomó para perder peso fueron...
A0110E,57,¿Las acciones que tomó para perder peso fueron...
A0110F,58,¿Las acciones que tomó para perder peso fueron...
A0110G,59,¿Las acciones que tomó para perder peso fueron...
A0110H,60,¿Las acciones que tomó para perder peso fueron...
A0110I,61,¿Las acciones que tomó para perder peso fueron...
a01esp,62,Las acciones que tomé para perder peso fueron ESPECIFIQUE
nota015,63,NOTA015
nota016,64,NOTA016
a0211,65,Durante la última semana...¿Sentía como si no pudiera quitarse de encima la tristeza?
a0212,66,Durante la última semana...¿le costaba concentrarse en lo que estaba haciendo?
a0213,67,Durante la última semana...¿se sintió deprimido/a?
a0214,68,Durante la última semana...¿le parecía que todo lo que hacía era un esfuerzo?
a0215,69,Durante la última semana...¿no durmió bien?
a0216,70,Durante la última semana...¿disfruto de la vida?
a0217,71,Durante la última semana...¿se sintió triste?
a0202,72,¿Alguna vez le ha dicho un médico u otra personal de salud que sufre o ha sufrido depresión?
a0203,73,¿Le mandaron medicinas o algún otro tipo de tratamiento para la depresión?
a0204,74,"Durante las últimas 2 semanas, ¿ha tomado algún medicamento o ha seguido otro tipo de tratamiento para la depresión?"
nota017,75,NOTA017
nota018,76,NOTA018
a0301,77,¿Algún médico le ha dicho que tiene diabetes (o alta el azúcar en la sangre)?
a0302,78,¿Qué edad tenía usted cuando el médico le dijo que tenía diabetes (o alta el azúcar en la sangre)?
a0303cod,79,"En los últimos 12 meses, ¿cuántas veces y con qué frecuencia acudió al médico para controlar su diabetes (o azúcar alta en la sangre)?"
a0303num,80,"En los últimos 12 meses, ¿cuántas veces y con qué frecuencia acudió al médico para controlar su diabetes (o azúcar alta en la sangre)?"
