Valor,,Etiqueta
nota1,1,"¿Acepta usted? ,,,, Sí"
,2,"¿Acepta usted? ,,,, No"
sexo,1,Hombre
,2,Mujer
asexo,1,Hombre
,2,Mujer
nota014,1,Favor de continuar
a0107,1,Ganó peso.
,2,Perdió peso.
,3,No ha experimentado cambios en su Peso.
,4,Ganó o perdió peso porque está embarazada.
,9,No sabe.
a0109,1,SI.
,2,NO.
A0110A,1,disminuir el tamaño de las porciones?
,2,aumentar la actividad física?
,3,seguir las recomendaciones de un profesional de la salud?
,4,tomar medicamentos para perder peso?
,5,eliminar el consumo de refrescos?
,6,"aumentar el consumo de vegetales y alimentos ricos en fibra (por ejemplo, cereales integrales)?"
,7,realizar algún tipo de ejercicio?
,8,tomar mucha agua?
,9,Otra forma (especifica).
A0110B,1,disminuir el tamaño de las porciones?
,2,aumentar la actividad física?
,3,seguir las recomendaciones de un profesional de la salud?
,4,tomar medicamentos para perder peso?
,5,eliminar el consumo de refrescos?
,6,"aumentar el consumo de vegetales y alimentos ricos en fibra (por ejemplo, cereales integrales)?"
,7,realizar algún tipo de ejercicio?
,8,tomar mucha agua?
,9,Otra forma (especifica).
A0110C,1,disminuir el tamaño de las porciones?
,2,aumentar la actividad física?
,3,seguir las recomendaciones de un profesional de la salud?
,4,tomar medicamentos para perder peso?
,5,eliminar el consumo de refrescos?
,6,"aumentar el consumo de vegetales y alimentos ricos en fibra (por ejemplo, cereales integrales)?"
,7,realizar algún tipo de ejercicio?
,8,tomar mucha agua?
,9,Otra forma (especifica).
A0110D,1,disminuir el tamaño de las porciones?
,2,aumentar la actividad física?
,3,seguir las recomendaciones de un profesional de la salud?
,4,tomar medicamentos para perder peso?
,5,eliminar el consumo de refrescos?
,6,"aumentar el consumo de vegetales y alimentos ricos en fibra (por ejemplo, cereales integrales)?"
,7,realizar algún tipo de ejercicio?
,8,tomar mucha agua?
,9,Otra forma (especifica).
A0110E,1,disminuir el tamaño de las porciones?
,2,aumentar la actividad física?
,3,seguir las recomendaciones de un profesional de la salud?
,4,tomar medicamentos para perder peso?
,5,eliminar el consumo de refrescos?
,6,"aumentar el consumo de vegetales y alimentos ricos en fibra (por ejemplo, cereales integrales)?"
,7,realizar algún tipo de ejercicio?
,8,tomar mucha agua?
,9,Otra forma (especifica).
A0110F,1,disminuir el tamaño de las porciones?
,2,aumentar la actividad física?
,3,seguir las recomendaciones de un profesional de la salud?
,4,tomar medicamentos para perder peso?
,5,eliminar el consumo de refrescos?
,6,"aumentar el consumo de vegetales y alimentos ricos en fibra (por ejemplo, cereales integrales)?"
,7,realizar algún tipo de ejercicio?
,8,tomar mucha agua?
,9,Otra forma (especifica).
A0110G,1,disminuir el tamaño de las porciones?
,2,aumentar la actividad física?
,3,seguir las recomendaciones de un profesional de la salud?
,4,tomar medicamentos para perder peso?
,5,eliminar el consumo de refrescos?
,6,"aumentar el consumo de vegetales y alimentos ricos en fibra (por ejemplo, cereales integrales)?"
,7,realizar algún tipo de ejercicio?
,8,tomar mucha agua?
,9,Otra forma (especifica).
A0110H,1,disminuir el tamaño de las porciones?
,2,aumentar la actividad física?
,3,seguir las recomendaciones de un profesional de la salud?
,4,tomar medicamentos para perder peso?
,5,eliminar el consumo de refrescos?
,6,"aumentar el consumo de vegetales y alimentos ricos en fibra (por ejemplo, cereales integrales)?"
,7,realizar algún tipo de ejercicio?
,8,tomar mucha agua?
,9,Otra forma (especifica).
A0110I,1,disminuir el tamaño de las porciones?
,2,aumentar la actividad física?
,3,seguir las recomendaciones de un profesional de la salud?
,4,tomar medicamentos para perder peso?
,5,eliminar el consumo de refrescos?
,6,"aumentar el consumo de vegetales y alimentos ricos en fibra (por ejemplo, cereales integrales)?"
,7,realizar algún tipo de ejercicio?
,8,tomar mucha agua?
,9,Otra forma (especifica).
nota015,1,Favor de continuar
nota016,1,Favor de continuar
a0211,1,Rara vez o nunca (menos de un día).
,2,Pocas veces o alguna vez (1-2 días).
,3,Un número de veces considerable (3-4 dias).
,4,Todo el tiempo o la mayoría del tiempo (5-7 días).
a0212,1,Rara vez o nunca (menos de un día).
,2,Pocas veces o alguna vez (1-2 días).
,3,Un número de veces considerable (3-4 dias).
,4,Todo el tiempo o la mayoría del tiempo    (5-7 días).
a0213,1,Rara vez o nunca (menos de un día).
,2,Pocas veces o alguna vez (1-2 días).
,3,Un número de veces considerable (3-4 dias).
,4,Todo el tiempo o la mayoría del tiempo    (5-7 días).
a0214,1,Rara vez o nunca (menos de un día).
,2,Pocas veces o alguna vez (1-2 días).
,3,Un número de veces considerable (3-4 dias).
,4,Todo el tiempo o la mayoría del tiempo    (5-7 días).
a0215,1,Rara vez o nunca (menos de un día).
,2,Pocas veces o alguna vez (1-2 días).
,3,Un número de veces considerable (3-4 dias).
,4,Todo el tiempo o la mayoría del tiempo    (5-7 días).
a0216,1,Rara vez o nunca (menos de un día).
,2,Pocas veces o alguna vez (1-2 días).
,3,Un número de veces considerable (3-4 dias).
,4,Todo el tiempo o la mayoría del tiempo    (5-7 días).
a0217,1,Rara vez o nunca (menos de un día).
,2,Pocas veces o alguna vez (1-2 días).
,3,Un número de veces considerable (3-4 dias).
,4,Todo el tiempo o la mayoría del tiempo    (5-7 días).
a0202,1,Sí
,2,No
nota017,1,Favor de continuar
nota018,1,Favor de continuar
a0301,1,SÍ.
,2,"Sí, durante el embarazo  (solo mujeres, diabetes gestacional"
,3,NO.
a0305,1,Instituto Mexicano del Seguro Social (IMSS).
,2,IMSS Bienestar (antes Oportunidades).
,3,ISSSTE/ISSSTE Estatal.
,4,Centro de Salud u Hospital de la SSA/Instituto Nacional de S
,5,"PEMEX, Defensa, Marina o DIF."
,6,Consultorios pertenecientes a farmacias/Farmacias con consul
,7,"Atención privada en domicilio o vía remota, médico de la emp"
,8,Consultorio en domicilio particular de médico privado.
,9,Otro (especifique).
,10,No sabe / No recuerda.
a0306a,1,Si.
,2,No.
,9,No Sabe/No responde.
a0306b,1,Si.
,2,No.
,9,No Sabe/No responde.
a0306c,1,Si.
,2,No.
,9,No Sabe/No responde.
a0306d,1,Si.
,2,No.
,9,No Sabe/No responde.
a0306e,1,Si.
,2,No.
,9,No Sabe/No responde.
a0306f,1,Si.
,2,No.
,9,No Sabe/No responde.
a0306g,1,Si.
,2,No.
,9,No Sabe/No responde.
a0306h,1,Si.
,2,No.
,9,No Sabe/No responde.
a0306i,1,Si.
,2,No.
,9,No Sabe/No responde.
a0306j,1,Si.
,2,No.
,9,No Sabe/No responde.
a0306l,1,Si.
,2,No.
,9,No Sabe/No responde.
a0307,1,"Sí, solo insulina."
,2,"Sí, solo pastillas."
,3,"Sí, ambas."
,4,Ninguno.
a0310,1,SÍ.
,2,NO.
,8,No responde.
A0312A,1,Plan de alimentación (dieta recomendada por personal de salu
,2,Plan de ejercicio físico?
,3,Come frutas y verduras todos los días?
,4,Otros?
,5,Ninguno.
