Valor,,Etiqueta
NOTA1,1,"¿Acepta usted? ,,,, Sí"
,2,"¿Acepta usted? ,,,, No"
NOTA1A,1,Favor de Continuar
H0101,1,Material de desecho
,2,Lámina de cartón
,3,Lámina metálica
,4,Lámina de asbesto
,5,Palma o paja
,6,Madera o tejamanil
,7,Terrado con vigueria
,8,Teja
,9,Losa de concreto o viguetas con bovedilla
H0102,1,Material de desecho
,2,Lámina de cartón
,3,Lámina de asbesto o metálica
,4,"Carrizo, bambú o palma"
,5,"Embarro, bajareque o paja"
,6,Madera
,7,Adobe
,8,"Tabique, ladrillo,block, piedra, cantera, cemento o concreto"
H0103,1,Tierra
,2,Cemento o firme
,3,"Madera, mosaico u otro recubrimiento"
H0106,1,Sí
,2,No
H0107,1,en un pasillo o corredor?
,2,en un tejabán o techito?
,3,al aire libre?
,4,¿No cocinan en esta vivienda?
H0108,1,Sí
,2,No
H0109,1,leña?
,2,carbón?
,3,gas de cilindro o estacionario?
,4,gas natural o de tubería?
,5,electricidad?
,6,¿Otro combustible?
,7,¿No cocinan?
H0110,1,Estufa o parrilla de gas
,2,Estufa o parrilla eléctrica
,3,Fuego abierto u horno sin chimenea ni campana
,4,Fuego abierto u horno con chimenea o campana
,5,Horno cerrado con chimenea
,6,Otro
H0111,1,Sí
,2,No
H0112,1,dentro de la vivienda?
,2,solo en el terreno?
,3,¿No tiene agua entubada?
H0113,1,del servicio público de agua?
,2,de un pozo?
,3,de una pipa?
,4,de otra vivienda?
,5,de otro lugar?
H0114,1,la sacan o acarrean de un pozo?
,2,la acarrean de una toma o llave comunitaria?
,3,la traen de otra vivienda?
,4,la traen de una pipa?
,5,"la acarrean de un río, arroyo o lago?"
,6,la captan de la lluvia?
H0114B,1,Sí
,2,No
,8,NS/NR
H0114C,1,"Sí, mostrado"
,2,"No, mostrado"
H0114DA,1,Jabón en pastilla
,2,Detergente (en polvo / liquido / en pasta)
,3,Jabón liquido
,4,"Ceniza, barro o arena"
H0114DB,1,Jabón en pastilla
,2,Detergente (en polvo / liquido / en pasta)
,3,Jabón liquido
,4,"Ceniza, barro o arena"
H0114DC,1,Jabón en pastilla
,2,Detergente (en polvo / liquido / en pasta)
,3,Jabón liquido
,4,"Ceniza, barro o arena"
H0114DD,1,Jabón en pastilla
,2,Detergente (en polvo / liquido / en pasta)
,3,Jabón liquido
,4,"Ceniza, barro o arena"
H0115,1,la red pública?
,2,una fosa séptica o tanque séptico (biodigestor)?
,3,una tubería que va a dar a una barranca o grieta?
,4,"una tubería que va a dar a un río, lago o mar?"
,5,¿No tiene drenaje?
H0117,1,tiene descarga directa de agua?
,2,le echan agua con cubeta?
,3,no se le puede echar agua?
,4,no tiene servicio sanitario?
H0118,1,Sí
,2,No
H0119,1,la recoge un camión o un carrito de basura?
,2,la tiran en el basurero público?
,3,la tiran en un contenedor o depósito?
,4,la queman?
,5,la entierran?
,6,la tiran en un terreno baldío o calle?
,7,la tiran a la barranca o grieta?
,8,"la tiran al río, lago o mar?"
H0120,1,Sí
,2,No
H0121,1,Aparato o sistema de calefacción
,2,Calentón
,3,Resistencia
,4,Brasero
,5,Chimenea
,6,Otro
H0122,1,Gas
,2,Electricidad
,3,Queroseno
,4,Carbón mineral
,5,Carbón vegetal
,6,Leña o madera
,7,Residuos agrícolas o de cultivos
,8,Estiercol animal
,9,Matojos o hierba
,10,Otro combustible
H0123,1,es rentada?
,2,es prestada?
,3,es propia pero la están pagando?
,4,es propia?
,5,está intestada o en litigio?
,6,está en otra situación?
H0124A,1,Sí
,2,No
H0124B,1,Sí
,2,No
H0124C,1,Sí
,2,No
H0124D,1,Sí
,2,No
H0124E,1,Sí
,2,No
H0125A,1,Sí
,2,No
H0125B,1,Sí
,2,No
H0125C,1,Sí
,2,No
H0125D,1,Sí
,2,No
H0125E,1,Sí
,2,No
NOTA2,1,Favor de Continuar
H0201,1,Sí
,2,No
H0205,1,Sí
,2,No
,3,No se observan ventanas
NOTA3,1,Favor de Continuar
H305T,1,Sí
,2,No
H0326,1,"1- 5,999 pesos"
,2,"6,000-9,999 pesos"
,3,"10,000-13,999 pesos"
,4,"14,000-21,999 pesos"
,5,"22,000 o más pesos"
,6,No percibieron ingresos
,8,No quiso responder
,9,No sabe
NOTA4,1,Favor de Continuar
NOTA5,1,Favor de Continuar
NOTA6,1,Favor de Continuar
H0601A,1,Sí
,2,No
H0601B,1,Sí
,2,No
H0601C,1,Sí
,2,No
H0601D,1,Sí
,2,No
H0601E,1,Sí
,2,No
H0601F,1,Sí
,2,No
H0601G,1,Sí
,2,No
H0601H,1,Sí
,2,No
H0601I,1,Sí
,2,No
H0601J,1,Sí
,2,No
H0601K,1,Sí
,2,No
H0601L,1,Sí
,2,No
