Variable,Posición,Etiqueta,Nivel de medición
FOLIO_I,1,Folio,Nominal
maquina,2,MAQUINA,Nominal
hora_ini_1,3,Hora de Inicio 1,Nominal
fecha_ini_1,4,Fecha de Inicio 1,Nominal
hora_fin_1,5,Hora termino 1,Nominal
fecha_fin_1,6,Fecha termino 1,Nominal
tiempo1,7,Duración de la Entrevista 1,Escala
resultado_1,8,Resultado de entrevista 1,Escala
hora_ini_2,9,Hora de Inicio 2,Nominal
fecha_ini_2,10,Fecha de Inicio 2,Nominal
hora_fin_2,11,Hora de Termino 2,Nominal
fecha_fin_2,12,Fecha de Termino 2,Nominal
tiempo2,13,Duración de la Entrevista 2,Escala
resultado_2,14,Resultado de entrevista 2,Escala
hora_ini_3,15,Hora de Inicio 3,Nominal
fecha_ini_3,16,Fecha de Inicio 3,Nominal
hora_fin_3,17,Hora de Termino 3,Nominal
fecha_fin_3,18,Fecha de Termino 3,Nominal
tiempo3,19,Duración de la Entrevista 3,Escala
resultado_3,20,Resultado de entrevista 3,Escala
hora_ini_4,21,Hora de Inicio 4,Nominal
fecha_ini_4,22,Fecha de Inicio 4,Nominal
hora_fin_4,23,Hora de Termino 4,Nominal
fecha_fin_4,24,Fecha de Termino 4,Nominal
tiempo4,25,Duración de la Entrevista 4,Escala
resultado_4,26,Resultado de entrevista 4,Escala
hora_ini,27,Hora de Inicio,Nominal
fecha_ini,28,Fecha de inicio,Nominal
localizado,29,localizado,Escala
entidad,30,Entidad,Nominal
region,31,Region o zona de trabajo,Escala
region_s,32,Region de Selección,Escala
desc_ent,33,DESC_ENT,Nominal
municipio,34,Municipio,Nominal
desc_mun,35,DESC_MUN,Nominal
vivienda,36,Vivienda,Nominal
hogar,37,hogar,Nominal
upm,38,Unidad primaria de muestreo,Nominal
nota1a,39,SECCION I. CARACTERÍSTCAS DE LA VIVIENDA,Escala
h0101,40,H0101 ¿De qué material es la mayor parte del techo de esta vivienda?,Escala
h0102,41,H0102 ¿De qué material es la mayor parte de las paredes o muros de esta vivienda?,Escala
h0103,42,H0103 ¿De qué material es la mayor parte del piso de esta vivienda?,Escala
h0104,43,H0104 ¿Cuántos cuartos se usan para dormir sin contar pasillos?,Escala
h0105,44,"H0105 En total, ¿cuántos cuartos tiene esta vivienda (no cuente pasillos ni baños)?",Escala
h0106,45,H0106 ¿Esta vivienda tiene un cuarto(espacio) para cocinar?,Escala
h0107,46,"H0107 Entonces, ¿cocinan los alimentos...",Escala
h0108,47,"H0108 ¿En el cuarto (espacio) donde cocinan, también duermen?",Escala
h0109,48,H0109 ¿El combustible que más usan para cocinar es...,Escala
h0110,49,H0110 ¿Qué tipo de estufa utilizan para cocinar o calentar alimentos?,Escala
h0110esp,50,H0110ESP ESPECIFIQUE:,Nominal
h0111,51,H0111 ¿Hay luz eléctrica en esta vivienda?,Escala
h0112,52,H0112 ¿Esta vivienda tiene agua entubada...,Escala
h0113,53,H0113 ¿El agua entubada que llega a su vivienda viene...,Escala
h0114,54,"H0114 Entonces, ¿el agua que usan en esta vivienda...",Escala
h0115,55,H0115 ¿Tiene algún jabón o detergente o ceniza/barro/arena en el hogar para lavarse las manos?,Escala
h0116,56,"H0116 ¿Podría mostrármelo, por favor?",Escala
H0117A,57,H0117  Anote la observación,Escala
H0117B,58,H0117  Anote la observación,Escala
H0117C,59,H0117  Anote la observación,Escala
H0117D,60,H0117  Anote la observación,Escala
h0118,61,H0118 ¿Esta vivienda tiene drenaje o desagüe conectado a...,Escala
h0119,62,H0119 ¿El servicio sanitario...,Escala
h0120,63,H0120 ¿Este servicio sanitario lo comparten con otra vivienda?,Escala
h0121,64,H0121¿La basura de esta vivienda...,Escala
h0122,65,"H0122 Cuando hace frío, ¿usan o hacen algo para calentar la vivienda?",Escala
h0123,66,H0123 ¿Qué utilizan para calentar la vivienda?,Escala
h0123esp,67,H0123ESP ESPECIFIQUE:,Nominal
h0124,68,H0124 ¿Qué combustible usan?,Escala
h0125,69,H0125 ¿Esta vivienda...,Escala
h0126a,70,H0126A ¿Esta vivienda tiene calentador de agua?,Escala
h0126b,71,H0126B ¿Esta vivienda tiene tinaco?,Escala
h0126c,72,H0126C ¿Esta vivienda tiene cisterna o aljibe?,Escala
h0126d,73,H0126D ¿Esta vivienda tiene medidor de luz?,Escala
h0126e,74,H0126E ¿Esta vivienda tiene aire acondicionado?,Escala
