Variable,Posición,Etiqueta,Nivel de medición
FOLIO_I,1,Folio,Nominal
id_int,2,Int_hogar,Escala
FOLIO_INT,3,Folio integrante,Nominal
maquina1,4,Maquina de captura,Nominal
entidad1,5,Entidad,Nominal
desc_ent1,6,DESC_ENT,Nominal
municipio1,7,Municipio,Nominal
desc_mun1,8,DESC_MUN,Nominal
h0302,9,Sexo,Escala
h0303,10,Edad,Escala
h0304,11,Fecha de Nacimiento,Escala
h0304d,12,Día de Nacimiento,Escala
h0304m,13,Mes de Nacimiento,Escala
h0304a,14,Año de Nacimiento,Escala
meses,15,Meses,Escala
h0305,16,¿Que es (NOMBRE) de la (del) jefe(a)?,Escala
h0305_es,17,Especifique,Nominal
int_nuevo,18,Existe otro integrante en el hogar,Escala
intp1,19,Int_hogar,Escala
h0306,20,H0306 ¿En qué estado de la República Mexicana o país nació (NOMBRE)?,Escala
h0306e,21,H0306E ¿En cual estado de la República Mexicana? nació (NOMBRE)?,Escala
h0306p,22,H0306P ¿En cual país? nació (NOMBRE)?,Escala
h0307,23,"H0307 En esta vivienda, ¿vive la madre de (NOMBRE)?",Escala
h0307q,24,H0307Q ¿Quién es?,Escala
h0308,25,"H0308 En esta vivienda, ¿vive el padre de (NOMBRE)?",Escala
h0308q,26,H0308Q ¿Quién es?,Escala
h0309,27,"H0309 Cuando tiene una necesidad de salud, ¿en dónde se atiende usualmente? Considere como necesidad de salud, además de enfermedades y lesiones, el malestar psicológico, consultas programadas, servicios de medicina preventiva. No importa si fue o no",Escala
H0310A,28,H0310 ¿(NOMBRE) tiene derecho o acceso a servicios médicos:,Nominal
H0310B,29,H0310 ¿(NOMBRE) tiene derecho o acceso a servicios médicos:,Nominal
H0310C,30,H0310 ¿(NOMBRE) tiene derecho o acceso a servicios médicos:,Nominal
h0309e,31,H0309E ESPECIFIQUE,Nominal
h0310e,32,H0310E ESPECIFICAR,Nominal
h0311,33,H0311 ¿(NOMBRE) habla alguna lengua indígena (dialecto)?,Escala
h0312,34,H0312 ¿(NOMBRE) habla también español?,Escala
h0313,35,H0313 ¿ (NOMBRE) asiste actualmente a la escuela?,Escala
h0314,36,H0314 ¿La escuela a la que asiste (NOMBRE) es...,Escala
h0316,37,H0316 ¿Cuál es la razón principal por la que (NOMBRE) no asiste actualmente a la escuela?,Escala
h0316esp,38,H0316ESP ESPECIFIQUE,Nominal
h0317a,39,H0317A ¿Cuál es el último año o grado que aprobó (USTED/NOMBRE) en la escuela? NIVEL,Escala
h0317g,40,H0317G ¿Cuál es el último año y grado que aprobó (USTED/NOMBRE) en la escuela? GRADO,Escala
h0318,41,H0318 ¿ (NOMBRE) sabe leer y escribir un recado?,Escala
intp3,42,Int_hogar,Escala
h0319,43,H0319 ¿Actualmente (USTED/NOMBRE)...,Escala
h0320,44,"H0320 En este hogar, ¿vive el cónyuge de (NOMBRE)?",Escala
h0320q,45,H0320Q ¿Quién es?,Escala
h0321,46,"H0321 ¿Durante la semana pasada, (NOMBRE) trabajó (al menos una hora)?",Escala
h0322,47,"H0322 Aunque ya me dijo que (NOMBRE) no trabajó, ¿la semana pasada:",Escala
h0323,48,"H0323 Entonces, ¿la semana pasada (NOMBRE) ...",Escala
h0324,49,H0324 ¿En su trabajo o negocio de la semana pasada (NOMBRE) fue:,Escala
h0324esp,50,H0324ESP ESPECIFIQUE,Nominal
intp4,51,Int_hogar,Escala
h0401,52,H0401 En los últimos 3 meses ¿(USTED/NOMBRE) ha tenido alguna necesidad de salud?,Escala
h0402,53,H0402 ¿Podría decirme cuál fue la última necesidad de salud que tuvo (USTED/NOMBRE) en los últimos 3 meses?,Escala
h0402esp,54,H0402ESP ESPECIFIQUE,Nominal
h0403,55,H0403 ¿Esto ocurrió en las últimas dos semanas?,Escala
h0404,56,H0404 ¿(USTED/NOMBRE) buscó atención por esa necesidad de salud?,Escala
H0405A,57,H0405 ¿Por qué motivo (USTED/NOMBRE) no buscó atención?,Escala
H0405B,58,H0405 ¿Por qué motivo (USTED/NOMBRE) no buscó atención?,Escala
H0405C,59,H0405 ¿Por qué motivo (USTED/NOMBRE) no buscó atención?,Escala
h0405esp,60,H0405ESP ESPECIFIQUE,Nominal
h0406,61,H0406 ¿(USTED/NOMBRE) fue atendido por esa necesidad de salud en alguna institución de salud (pública o privada) o con algún practicante tradicional?,Escala
H0407A,62,H0407 ¿Por qué motivo (USTED/NOMBRE) no fue atendido?,Escala
H0407B,63,H0407 ¿Por qué motivo (USTED/NOMBRE) no fue atendido?,Escala
H0407C,64,H0407 ¿Por qué motivo (USTED/NOMBRE) no fue atendido?,Escala
h0407esp,65,H0407ESP ESPECIFIQUE:,Nominal
h0408,66,H0408 ¿En qué institución de salud (USTED/NOMBRE) se atendió/solicitó ser atendido?,Escala
h0408esp,67,H0408ESP ESPECIFIQUE:,Nominal
h0409,68,H0409 ¿La atención que buscó (USTED/NOMBRE) requirió...,Nominal
h0601a,69,"H0601A En los últimos 12 meses, ¿(NOMBRE) recibió apoyo del programa Abasto Social de leche LICONSA?",Escala
h0603a,70,H0603A ¿Durante cuánto tiempo lo ha recibido?,Escala
h0601b,71,"H0601B En los últimos 12 meses, ¿(NOMBRE) recibió apoyo del programa Pensión para adultos mayores? (antes Apoyos monetarios para adultos mayores)",Escala
h0603b,72,H0603B ¿Durante cuánto tiempo lo ha recibido?,Escala
h0601c,73,"H0601C En los últimos 12 meses, ¿(NOMBRE) recibió apoyo del programa Despensas de alimentos del DIF?",Escala
h0603c,74,H0603C ¿Durante cuánto tiempo lo ha recibido?,Escala
h0601d,75,"H0601D En los últimos 12 meses, ¿(NOMBRE) recibió apoyo del programa Alimentos Escolares (modalidad fríos) del DIF? (Antes Programa de Desayunos escolares fríos del DIF)",Escala
h0603d,76,H0603D ¿Durante cuánto tiempo lo ha recibido?,Escala
h0601e,77,"H0601E En los últimos 12 meses, ¿(NOMBRE) recibió apoyo del programa Alimentos Escolares (modalidad Calientes) del DIF? (Antes Programa de Desayunos escolares calientes del DIF)",Escala
h0603e,78,H0603E ¿Durante cuánto tiempo lo ha recibido?,Escala
h0601f,79,"H0601F En los últimos 12 meses, ¿(NOMBRE) recibió apoyo del programa  La escuela es nuestra  ( Antes Servicio de alimentación en Escuelas de tiempo completo de la SEP) ?",Escala
h0603f,80,H0603F ¿Durante cuánto tiempo lo ha recibido?,Escala
h0601g,81,"H0601G En los últimos 12 meses, ¿(NOMBRE) recibió apoyo del programa Comedores Populares del DIF?",Escala
h0603g,82,H0603G ¿Durante cuánto tiempo lo ha recibido?,Escala
h0601h,83,"H0601H En los últimos 12 meses, ¿(NOMBRE) recibió apoyo del programa de Organizaciones No Gubernamentales?",Escala
h0603h,84,H0603H ¿Durante cuánto tiempo lo ha recibido?,Escala
h0601i,85,"H0601I En los últimos 12 meses, ¿(NOMBRE) recibió apoyo del programa Alimentario de albergues y/o comedores escolares indígenas?",Escala
h0603i,86,H0603I ¿Durante cuánto tiempo lo ha recibido?,Escala
h0601j,87,"H0601J En los últimos 12 meses, ¿(NOMBRE) recibió apoyo del programa  Jóvenes construyendo el futuro?",Escala
h0603j,88,H0603J ¿Durante cuánto tiempo lo ha recibido?,Escala
h0601k,89,"H0601K En los últimos 12 meses, ¿(NOMBRE) recibió apoyo del programa Nacional de Becas para el bienestar Benito Juárez?",Escala
h0603k,90,H0603K ¿Durante cuánto tiempo lo ha recibido?,Escala
h0601l,91,"H0601L En los últimos 12 meses, ¿(NOMBRE) recibió apoyo del programa Pensión para el bienestar de las personas con discapacidad?",Escala
h0603l,92,H0603L ¿Durante cuánto tiempo lo ha recibido?,Escala
h0601m,93,"H0601M En los últimos 12 meses, ¿(NOMBRE) recibió apoyo del programa Para el bienestar de las niñas y los niños hijos de madres trabajadoras?",Escala
h0603m,94,H0603M ¿Durante cuánto tiempo lo ha recibido?,Escala
h0601n,95,"H0601N En los últimos 12 meses, ¿(NOMBRE) recibió apoyo del programa Asistencia Social Alimentaria durante los primeros mil días?",Escala
h0603n,96,H0603N ¿Durante cuánto tiempo lo ha recibido?,Escala
h0604ba,97,H0604BA En los últimos 12 meses alguna persona en este hogar ha sido registrada en el Instituto de Salud para el Bienestar?,Escala
h0604bb,98,H0604BB ¿hace cuantos meses que fue registrado?,Escala
h1205,99,H1205 Desde febrero 2020 ¿Cuántas veces le han diagnosticado a (NOMBRE) COVID-19 por algún personal de salud?,Escala
h1207a,100,H1207 ¿En qué mes fue diagnosticado con COVID-19?,Escala
h1207b,101,H1207 ¿En qué año fue diagnosticado con COVID-19?,Escala
