,Variable,index_20,index_21,index_22
5,cuenta,5.0,,
6,maquina,6.0,1.0,
33,localizado,33.0,28.0,
34,nota1,34.0,,36.0
51,h0114b,51.0,,
52,h0114c,52.0,,
53,h0114da,53.0,,
54,h0114db,54.0,,
55,h0114dc,55.0,,
56,h0114dd,56.0,,
57,h0115,57.0,54.0,
58,h0117,58.0,,
63,h0121esp,63.0,,
66,h0124a,66.0,,
67,h0124b,67.0,,
68,h0124c,68.0,,
69,h0124d,69.0,,
70,h0124e,70.0,,
71,h0125a,71.0,,
72,h0125b,72.0,,
73,h0125c,73.0,,
74,h0125d,74.0,,
75,h0125e,75.0,,
81,h0205,81.0,,
82,nota3,82.0,,68.0
86,h0326,86.0,,
88,veri_selec,88.0,,75.0
89,nota5,89.0,,76.0
91,h0601a,91.0,,
92,h0601b,92.0,,
93,h0601c,93.0,,
94,h0601d,94.0,,
95,h0601e,95.0,,
96,h0601f,96.0,,
97,h0601g,97.0,,
98,h0601h,98.0,,
99,h0601i,99.0,,
100,h0601j,100.0,,
101,h0601k,101.0,,
102,h0601l,102.0,,
103,h0601m,103.0,,
104,h0601n,104.0,,
105,h0601o,105.0,,
106,ingreso,106.0,,
107,nota7,107.0,106.0,
108,h0701,108.0,107.0,
109,h070101a,109.0,,
110,h070101b,110.0,,
111,h070101c,111.0,,
112,h070101d,112.0,,
113,h070101e,113.0,,
114,h070101f,114.0,,
115,h070101g,115.0,,
116,h070101h,116.0,,
117,h070201,117.0,,
118,h070202,118.0,,
119,h070203,119.0,,
120,h070204,120.0,,
121,h070205,121.0,,
122,h070206,122.0,,
123,h070107e,123.0,,
124,h070207,124.0,,
125,h070108a,125.0,,
126,h070108b,126.0,,
127,h070108c,127.0,,
128,h070108d,128.0,,
129,h070108e,129.0,,
130,h070208,130.0,,
131,h070209,131.0,,
132,h070210,132.0,,
133,h070111e,133.0,,
134,h070211,134.0,,
135,h070112a,135.0,,
136,h070112b,136.0,,
137,h070112c,137.0,,
138,h070112d,138.0,,
139,h070112e,139.0,,
140,h070112f,140.0,,
141,h070112g,141.0,,
142,h070112h,142.0,,
143,h070212,143.0,,
144,h070213,144.0,,
145,h070214,145.0,,
146,h070215,146.0,,
147,h070216,147.0,,
148,h070117e,148.0,,
149,h070217,149.0,,
150,h070118e,150.0,,
151,h070218,151.0,,
152,h070119a,152.0,,
153,h070119b,153.0,,
154,h070119c,154.0,,
155,h070119d,155.0,,
156,h070119e,156.0,,
157,h070119f,157.0,,
158,h070119g,158.0,,
159,h070119h,159.0,,
160,h070119i,160.0,,
161,h070119j,161.0,,
162,h070119k,162.0,,
163,h070119l,163.0,,
164,h070119m,164.0,,
165,h070119n,165.0,,
166,h070119o,166.0,,
167,h070119p,167.0,,
168,h070119q,168.0,,
169,h070219,169.0,,
170,h070220,170.0,,
171,h070221,171.0,,
172,h070222,172.0,,
173,h070223,173.0,,
174,h070224,174.0,,
175,h070225,175.0,,
176,h070226,176.0,,
177,h070227,177.0,,
178,h070228,178.0,,
179,h070229,179.0,,
180,h070230,180.0,,
181,h070231,181.0,,
182,h070232,182.0,,
183,h070233,183.0,,
184,h070134e,184.0,,
185,h070234,185.0,,
186,h070135a,186.0,,
187,h070135b,187.0,,
188,h070135c,188.0,,
189,h070135d,189.0,,
190,h070135e,190.0,,
191,h070135f,191.0,,
192,h070135g,192.0,,
193,h070135h,193.0,,
194,h070135i,194.0,,
195,h070135j,195.0,,
196,h070135k,196.0,,
197,h070135l,197.0,,
198,h070135m,198.0,,
199,h070135n,199.0,,
200,h070235,200.0,,
201,h070236,201.0,,
202,h070237,202.0,,
203,h070238,203.0,,
204,h070239,204.0,,
205,h070240,205.0,,
206,h070241,206.0,,
207,h070242,207.0,,
208,h070243,208.0,,
209,h070244,209.0,,
210,h070245,210.0,,
211,h070246,211.0,,
212,h070147e,212.0,,
213,h070247,213.0,,
214,h070148a,214.0,,
215,h070148b,215.0,,
216,h070148c,216.0,,
217,h070148d,217.0,,
218,h070148e,218.0,,
219,h070248,219.0,,
220,h070249,220.0,,
221,h070250,221.0,,
222,h070251,222.0,,
223,h070152e,223.0,,
224,h070252,224.0,,
225,h070153a,225.0,,
226,h070153b,226.0,,
227,h070153c,227.0,,
228,h070153d,228.0,,
229,h070153e,229.0,,
230,h070253,230.0,,
231,h070254,231.0,,
232,h070255,232.0,,
233,h070156e,233.0,,
234,h070256,234.0,,
235,h070157a,235.0,,
236,h070157b,236.0,,
237,h070157c,237.0,,
238,h070157d,238.0,,
239,h070257,239.0,,
240,h070258,240.0,,
241,h070159e,241.0,,
242,h070259,242.0,,
243,h070160a,243.0,,
244,h070160b,244.0,,
245,h070160c,245.0,,
246,h070160d,246.0,,
247,h070160e,247.0,,
248,h070160f,248.0,,
249,h070160g,249.0,,
250,h070261,250.0,,
251,h070262,251.0,,
252,h070263,252.0,,
253,h070264,253.0,,
254,h070265,254.0,,
255,h070166e,255.0,,
256,h070266,256.0,,
257,h070167a,257.0,,
258,h070167b,258.0,,
259,h070167c,259.0,,
260,h070167d,260.0,,
261,h070167e,261.0,,
262,h070167f,262.0,,
263,h070167g,263.0,,
264,h070167h,264.0,,
265,h070267,265.0,,
266,h070268,266.0,,
267,h070269,267.0,,
