,Label,index_20,index_21,index_22
1,int_hogar,1.0,2.0,
2,int_hogar,1.0,47.0,
3,int_hogar,1.0,68.0,
4,int_hogar,15.0,2.0,
5,int_hogar,15.0,47.0,
6,int_hogar,15.0,68.0,
7,int_hogar,37.0,2.0,
8,int_hogar,37.0,47.0,
9,int_hogar,37.0,68.0,
10,int_hogar,57.0,2.0,
11,int_hogar,57.0,47.0,
12,int_hogar,57.0,68.0,
13,folio integrante en el hogar,2.0,,
17,integrante en el hogar vivo,5.0,,
18,sexo,6.0,14.0,
19,edad,7.0,15.0,
20,¿en que día falleció (nombre)?,8.0,,
21,¿en qué mes falleció,9.0,,
22,fecha de nacimiento,10.0,16.0,
23,meses,11.0,20.0,
24,¿que es (nombre) de la (del) jefe(a)?,12.0,21.0,
25,especifique,13.0,22.0,
26,especifique,13.0,32.0,
27,especifique,13.0,43.0,
28,especifique,13.0,55.0,
29,especifique,13.0,71.0,
30,especifique,13.0,77.0,
31,especifique,13.0,127.0,
32,especifique,13.0,172.0,
33,especifique,13.0,174.0,
34,especifique,13.0,191.0,
35,especifique,13.0,212.0,
36,especifique,13.0,218.0,
37,especifique,13.0,221.0,
38,especifique,13.0,231.0,
39,especifique,13.0,238.0,
40,especifique,13.0,240.0,
41,especifique,13.0,243.0,
42,especifique,33.0,22.0,
43,especifique,33.0,32.0,
44,especifique,33.0,43.0,
45,especifique,33.0,55.0,
46,especifique,33.0,71.0,
47,especifique,33.0,77.0,
48,especifique,33.0,127.0,
49,especifique,33.0,172.0,
50,especifique,33.0,174.0,
51,especifique,33.0,191.0,
52,especifique,33.0,212.0,
53,especifique,33.0,218.0,
54,especifique,33.0,221.0,
55,especifique,33.0,231.0,
56,especifique,33.0,238.0,
57,especifique,33.0,240.0,
58,especifique,33.0,243.0,
59,especifique,45.0,22.0,
60,especifique,45.0,32.0,
61,especifique,45.0,43.0,
62,especifique,45.0,55.0,
63,especifique,45.0,71.0,
64,especifique,45.0,77.0,
65,especifique,45.0,127.0,
66,especifique,45.0,172.0,
67,especifique,45.0,174.0,
68,especifique,45.0,191.0,
69,especifique,45.0,212.0,
70,especifique,45.0,218.0,
71,especifique,45.0,221.0,
72,especifique,45.0,231.0,
73,especifique,45.0,238.0,
74,especifique,45.0,240.0,
75,especifique,45.0,243.0,
76,especifique,60.0,22.0,
77,especifique,60.0,32.0,
78,especifique,60.0,43.0,
79,especifique,60.0,55.0,
80,especifique,60.0,71.0,
81,especifique,60.0,77.0,
82,especifique,60.0,127.0,
83,especifique,60.0,172.0,
84,especifique,60.0,174.0,
85,especifique,60.0,191.0,
86,especifique,60.0,212.0,
87,especifique,60.0,218.0,
88,especifique,60.0,221.0,
89,especifique,60.0,231.0,
90,especifique,60.0,238.0,
91,especifique,60.0,240.0,
92,especifique,60.0,243.0,
93,especifique,66.0,22.0,
94,especifique,66.0,32.0,
95,especifique,66.0,43.0,
96,especifique,66.0,55.0,
97,especifique,66.0,71.0,
98,especifique,66.0,77.0,
99,especifique,66.0,127.0,
100,especifique,66.0,172.0,
101,especifique,66.0,174.0,
102,especifique,66.0,191.0,
103,especifique,66.0,212.0,
104,especifique,66.0,218.0,
105,especifique,66.0,221.0,
106,especifique,66.0,231.0,
107,especifique,66.0,238.0,
108,especifique,66.0,240.0,
109,especifique,66.0,243.0,
110,especifique,91.0,22.0,
111,especifique,91.0,32.0,
112,especifique,91.0,43.0,
113,especifique,91.0,55.0,
114,especifique,91.0,71.0,
115,especifique,91.0,77.0,
116,especifique,91.0,127.0,
117,especifique,91.0,172.0,
118,especifique,91.0,174.0,
119,especifique,91.0,191.0,
120,especifique,91.0,212.0,
121,especifique,91.0,218.0,
122,especifique,91.0,221.0,
123,especifique,91.0,231.0,
124,especifique,91.0,238.0,
125,especifique,91.0,240.0,
126,especifique,91.0,243.0,
127,especifique,93.0,22.0,
128,especifique,93.0,32.0,
129,especifique,93.0,43.0,
130,especifique,93.0,55.0,
131,especifique,93.0,71.0,
132,especifique,93.0,77.0,
133,especifique,93.0,127.0,
134,especifique,93.0,172.0,
135,especifique,93.0,174.0,
136,especifique,93.0,191.0,
137,especifique,93.0,212.0,
138,especifique,93.0,218.0,
139,especifique,93.0,221.0,
140,especifique,93.0,231.0,
141,especifique,93.0,238.0,
142,especifique,93.0,240.0,
143,especifique,93.0,243.0,
144,especifique,114.0,22.0,
145,especifique,114.0,32.0,
146,especifique,114.0,43.0,
147,especifique,114.0,55.0,
148,especifique,114.0,71.0,
149,especifique,114.0,77.0,
150,especifique,114.0,127.0,
151,especifique,114.0,172.0,
152,especifique,114.0,174.0,
153,especifique,114.0,191.0,
154,especifique,114.0,212.0,
155,especifique,114.0,218.0,
156,especifique,114.0,221.0,
157,especifique,114.0,231.0,
158,especifique,114.0,238.0,
159,especifique,114.0,240.0,
160,especifique,114.0,243.0,
161,especifique,127.0,22.0,
162,especifique,127.0,32.0,
163,especifique,127.0,43.0,
164,especifique,127.0,55.0,
165,especifique,127.0,71.0,
166,especifique,127.0,77.0,
167,especifique,127.0,127.0,
168,especifique,127.0,172.0,
169,especifique,127.0,174.0,
170,especifique,127.0,191.0,
171,especifique,127.0,212.0,
172,especifique,127.0,218.0,
173,especifique,127.0,221.0,
174,especifique,127.0,231.0,
175,especifique,127.0,238.0,
176,especifique,127.0,240.0,
177,especifique,127.0,243.0,
178,especifique,136.0,22.0,
179,especifique,136.0,32.0,
180,especifique,136.0,43.0,
181,especifique,136.0,55.0,
182,especifique,136.0,71.0,
183,especifique,136.0,77.0,
184,especifique,136.0,127.0,
185,especifique,136.0,172.0,
186,especifique,136.0,174.0,
187,especifique,136.0,191.0,
188,especifique,136.0,212.0,
189,especifique,136.0,218.0,
190,especifique,136.0,221.0,
191,especifique,136.0,231.0,
192,especifique,136.0,238.0,
193,especifique,136.0,240.0,
194,especifique,136.0,243.0,
195,especifique,152.0,22.0,
196,especifique,152.0,32.0,
197,especifique,152.0,43.0,
198,especifique,152.0,55.0,
199,especifique,152.0,71.0,
200,especifique,152.0,77.0,
201,especifique,152.0,127.0,
202,especifique,152.0,172.0,
203,especifique,152.0,174.0,
204,especifique,152.0,191.0,
205,especifique,152.0,212.0,
206,especifique,152.0,218.0,
207,especifique,152.0,221.0,
208,especifique,152.0,231.0,
209,especifique,152.0,238.0,
210,especifique,152.0,240.0,
211,especifique,152.0,243.0,
212,especifique,158.0,22.0,
213,especifique,158.0,32.0,
214,especifique,158.0,43.0,
215,especifique,158.0,55.0,
216,especifique,158.0,71.0,
217,especifique,158.0,77.0,
218,especifique,158.0,127.0,
219,especifique,158.0,172.0,
220,especifique,158.0,174.0,
221,especifique,158.0,191.0,
222,especifique,158.0,212.0,
223,especifique,158.0,218.0,
224,especifique,158.0,221.0,
225,especifique,158.0,231.0,
226,especifique,158.0,238.0,
227,especifique,158.0,240.0,
228,especifique,158.0,243.0,
229,especifique,161.0,22.0,
230,especifique,161.0,32.0,
231,especifique,161.0,43.0,
232,especifique,161.0,55.0,
233,especifique,161.0,71.0,
234,especifique,161.0,77.0,
235,especifique,161.0,127.0,
236,especifique,161.0,172.0,
237,especifique,161.0,174.0,
238,especifique,161.0,191.0,
239,especifique,161.0,212.0,
240,especifique,161.0,218.0,
241,especifique,161.0,221.0,
242,especifique,161.0,231.0,
243,especifique,161.0,238.0,
244,especifique,161.0,240.0,
245,especifique,161.0,243.0,
246,especifique,180.0,22.0,
247,especifique,180.0,32.0,
248,especifique,180.0,43.0,
249,especifique,180.0,55.0,
250,especifique,180.0,71.0,
251,especifique,180.0,77.0,
252,especifique,180.0,127.0,
253,especifique,180.0,172.0,
254,especifique,180.0,174.0,
255,especifique,180.0,191.0,
256,especifique,180.0,212.0,
257,especifique,180.0,218.0,
258,especifique,180.0,221.0,
259,especifique,180.0,231.0,
260,especifique,180.0,238.0,
261,especifique,180.0,240.0,
262,especifique,180.0,243.0,
263,especifique,186.0,22.0,
264,especifique,186.0,32.0,
265,especifique,186.0,43.0,
266,especifique,186.0,55.0,
267,especifique,186.0,71.0,
268,especifique,186.0,77.0,
269,especifique,186.0,127.0,
270,especifique,186.0,172.0,
271,especifique,186.0,174.0,
272,especifique,186.0,191.0,
273,especifique,186.0,212.0,
274,especifique,186.0,218.0,
275,especifique,186.0,221.0,
276,especifique,186.0,231.0,
277,especifique,186.0,238.0,
278,especifique,186.0,240.0,
279,especifique,186.0,243.0,
280,especifique,205.0,22.0,
281,especifique,205.0,32.0,
282,especifique,205.0,43.0,
283,especifique,205.0,55.0,
284,especifique,205.0,71.0,
285,especifique,205.0,77.0,
286,especifique,205.0,127.0,
287,especifique,205.0,172.0,
288,especifique,205.0,174.0,
289,especifique,205.0,191.0,
290,especifique,205.0,212.0,
291,especifique,205.0,218.0,
292,especifique,205.0,221.0,
293,especifique,205.0,231.0,
294,especifique,205.0,238.0,
295,especifique,205.0,240.0,
296,especifique,205.0,243.0,
297,especifique,232.0,22.0,
298,especifique,232.0,32.0,
299,especifique,232.0,43.0,
300,especifique,232.0,55.0,
301,especifique,232.0,71.0,
302,especifique,232.0,77.0,
303,especifique,232.0,127.0,
304,especifique,232.0,172.0,
305,especifique,232.0,174.0,
306,especifique,232.0,191.0,
307,especifique,232.0,212.0,
308,especifique,232.0,218.0,
309,especifique,232.0,221.0,
310,especifique,232.0,231.0,
311,especifique,232.0,238.0,
312,especifique,232.0,240.0,
313,especifique,232.0,243.0,
314,existe otro integrante en el hogar,14.0,23.0,
315,¿en que estado de la república mexicana o país nació (nombre)?,16.0,,
316,¿en cual estado de la república mexicana? nació (nombre)?,17.0,25.0,
317,¿en cual país? nació (nombre)?,18.0,26.0,
318,"en esta vivienda, ¿vive la madre de (nombre)?",19.0,27.0,
319,¿quién es?,20.0,28.0,
320,¿quién es?,20.0,30.0,
321,¿quién es?,20.0,50.0,
322,¿quién es?,22.0,28.0,
323,¿quién es?,22.0,30.0,
324,¿quién es?,22.0,50.0,
325,¿quién es?,40.0,28.0,
326,¿quién es?,40.0,30.0,
327,¿quién es?,40.0,50.0,
328,"en esta vivienda, ¿vive el padre de (nombre)?",21.0,29.0,
329,¿(nombre) tiene derecho o acceso a servicios médicos:,23.0,33.0,
330,¿(nombre) tiene derecho o acceso a servicios médicos:,23.0,34.0,
331,¿(nombre) tiene derecho o acceso a servicios médicos:,23.0,35.0,
332,¿(nombre) tiene derecho o acceso a servicios médicos:,24.0,33.0,
333,¿(nombre) tiene derecho o acceso a servicios médicos:,24.0,34.0,
334,¿(nombre) tiene derecho o acceso a servicios médicos:,24.0,35.0,
335,¿(nombre) tiene derecho o acceso a servicios médicos:,25.0,33.0,
336,¿(nombre) tiene derecho o acceso a servicios médicos:,25.0,34.0,
337,¿(nombre) tiene derecho o acceso a servicios médicos:,25.0,35.0,
338,especificar,26.0,36.0,
339,¿(nombre) habla alguna lengua indígena (dialecto)?,27.0,37.0,
340,¿(nombre) habla también español?,28.0,38.0,
341,¿ (nombre) asiste actualmente a la escuela?,29.0,39.0,
342,¿la escuela a la que asiste (nombre) es...,30.0,40.0,
343,¿a que turno asiste (nombre)?,31.0,41.0,
344,¿cuál es la razón principal por la que (nombre) no asiste actualmente a la escuela?,32.0,,
345,¿cuál es el último año o grado que aprobó (usted/nombre) en la escuela? nivel,34.0,,
346,¿cuál es el último año y grado que aprobó (usted/nombre) en la escuela? grado,35.0,,
347,¿ (nombre) sabe leer y escribir un recado?,36.0,46.0,
348,¿actualmente (usted/nombre)...,38.0,48.0,
349,"en este hogar, ¿vive el conyugue de (nombre)?",39.0,,
350,"aunque ya me dijo que (nombre) no trabajó, ¿la semana pasada:",41.0,52.0,
351,"entonces, ¿la semana pasada (nombre) ...",42.0,53.0,
352,"¿durante la semana pasada, (nombre) trabajó (al menos una hora)?",43.0,51.0,
353,¿en su trabajo o negocio de la semana pasada (nombre) fue:,44.0,54.0,
354,"¿(nombre) recibe o puede recibir por su trabajo servicio médico (imss, issste u otro)?",46.0,,
355,¿(nombre) recibe o puede recibir por su trabajo aguinaldo?,47.0,58.0,
356,¿(nombre) recibe o puede recibir por su trabajo vacaciones con goce de sueldo?,48.0,,
357,¿(nombre) recibe o puede recibir por su trabajo reparto de utilidades o prima vacacional?,49.0,,
358,¿(nombre) recibe o puede recibir por su trabajo fondo de retiro (sar o afore)?,50.0,,
359,"¿(nombre) recibe o puede recibir por su trabajo crédito para la vivienda (infonavit, fovissste)?",51.0,,
360,¿(nombre) recibe o puede recibir por su trabajo guardería?,52.0,63.0,
361,¿(nombre) recibe o puede recibir por su trabajo tiempo para cuidados maternos o paternos?,53.0,,
362,¿(nombre) recibe o puede recibir por su trabajo seguro de vida?,54.0,65.0,
363,¿(nombre) recibe o puede recibir por su trabajo seguro privado para gastos médicos?,55.0,,
364,¿(nombre) recibe o puede recibir por su trabajo préstamos personales o caja de ahorro?,56.0,,
365,en los últimos 3 meses ¿(usted/nombre) ha tenido alguna necesidad de salud?,58.0,,
366,¿podría decirme cuál fue la última necesidad de salud que tuvo (usted/nombre) en los últimos 3 meses?,59.0,,
367,¿esto ocurrió en las últimas dos semanas?,61.0,72.0,
368,¿(usted/nombre) buscó atención por esa necesidad de salud?,62.0,73.0,
369,¿por qué motivo (usted/nombre) no buscó atención?,63.0,74.0,
370,¿por qué motivo (usted/nombre) no buscó atención?,63.0,75.0,
371,¿por qué motivo (usted/nombre) no buscó atención?,63.0,76.0,
372,¿por qué motivo (usted/nombre) no buscó atención?,64.0,74.0,
373,¿por qué motivo (usted/nombre) no buscó atención?,64.0,75.0,
374,¿por qué motivo (usted/nombre) no buscó atención?,64.0,76.0,
375,¿por qué motivo (usted/nombre) no buscó atención?,65.0,74.0,
376,¿por qué motivo (usted/nombre) no buscó atención?,65.0,75.0,
377,¿por qué motivo (usted/nombre) no buscó atención?,65.0,76.0,
378,¿(usted/nombre) fue atendido por esa necesidad de salud en alguna institución de salud (pública o privada) o con algún practicante tradicional?,67.0,,
379,¿por qué motivo (usted/nombre) no fue atendido?,68.0,79.0,
380,¿por qué motivo (usted/nombre) no fue atendido?,68.0,80.0,
381,¿por qué motivo (usted/nombre) no fue atendido?,68.0,81.0,
382,¿por qué motivo (usted/nombre) no fue atendido?,69.0,79.0,
383,¿por qué motivo (usted/nombre) no fue atendido?,69.0,80.0,
384,¿por qué motivo (usted/nombre) no fue atendido?,69.0,81.0,
385,¿por qué motivo (usted/nombre) no fue atendido?,70.0,79.0,
386,¿por qué motivo (usted/nombre) no fue atendido?,70.0,80.0,
387,¿por qué motivo (usted/nombre) no fue atendido?,70.0,81.0,
396,¿en qué institución de salud (usted/nombre) se atendió/solicitó ser atendido?,72.0,,
397,¿la atención que buscó (usted/nombre) requirió...,74.0,85.0,
398,¿la atención que buscó (usted/nombre) requirió...,74.0,86.0,
399,¿la atención que buscó (usted/nombre) requirió...,74.0,87.0,
400,¿la atención que buscó (usted/nombre) requirió...,74.0,88.0,
401,¿la atención que buscó (usted/nombre) requirió...,75.0,85.0,
402,¿la atención que buscó (usted/nombre) requirió...,75.0,86.0,
403,¿la atención que buscó (usted/nombre) requirió...,75.0,87.0,
404,¿la atención que buscó (usted/nombre) requirió...,75.0,88.0,
405,¿la atención que buscó (usted/nombre) requirió...,76.0,85.0,
406,¿la atención que buscó (usted/nombre) requirió...,76.0,86.0,
407,¿la atención que buscó (usted/nombre) requirió...,76.0,87.0,
408,¿la atención que buscó (usted/nombre) requirió...,76.0,88.0,
409,algún médico le ha dicho/le dijo a [nombre] que tiene/tuvo?,77.0,,
410,algún médico le ha dicho/le dijo a [nombre] que tiene/tuvo?,78.0,,
411,algún médico le ha dicho/le dijo a [nombre] que tiene/tuvo?,79.0,,
412,algún médico le ha dicho/le dijo a [nombre] que tiene/tuvo?,80.0,,
413,algún médico le ha dicho/le dijo a [nombre] que tiene/tuvo?,81.0,,
414,algún médico le ha dicho/le dijo a [nombre] que tiene/tuvo?,82.0,,
415,algún médico le ha dicho/le dijo a [nombre] que tiene/tuvo?,83.0,,
416,algún médico le ha dicho/le dijo a [nombre] que tiene/tuvo?,84.0,,
417,¿durante el período de confinamiento (23 de marzo a 1 de junio) (nombre) consumió alcohol?,85.0,,
418,"¿(nombre) consumió más, menos o igual cantidad de alcohol durante el período de confinamiento (23 de marzo al 1 de junio) que antes de este período?",86.0,,
419,¿antes del período de confinamiento (antes de fallecer) (usted/nombre) realizaba alguna actividad física o deporte?,87.0,,
420,durante el período de confinamiento el tiempo destinado a su deporte o actividad física?,88.0,,
421,"en comparación al tiempo que pasaba sentado o reclinado de forma habitual, durante el período de confinamiento, este tiempo?",89.0,,
422,"en el mes anterior al inicio del confinamiento (23 de marzo del 2020), nombre/usted, ¿trabajó como?",90.0,,
423,"la empresa privada en la que trabajó, se dedica a?",92.0,,
424,"durante el confinamiento de covid (23 de marzo al 31 de mayo), ¿nombre/usted?",94.0,,
425,"entre marzo de 2020 y [fecha actual] ¿(usted/nombre) tuvo/ ha tenido gripa/resfriado, influenza, covid-19 o alguna otra enfermedad",95.0,,
426,"entre marzo de 2020 y [fecha actual], nombre, estuvo en contacto con alguien con síntomas sospechosos (o confirmado) de covid-19?",96.0,,
427,(nombre) ¿cuántos días se mantuvo en aislamiento después de estar en contacto?,97.0,,
428,en algún momento desde marzo de 2020 y [fecha actual] ¿(usted/nombre) presentó alguno de los siguientes síntomas (molestias)?,98.0,,
429,en algún momento desde marzo de 2020 y [fecha actual] ¿(usted/nombre) presentó alguno de los siguientes síntomas (molestias)?,99.0,,
430,en algún momento desde marzo de 2020 y [fecha actual] ¿(usted/nombre) presentó alguno de los siguientes síntomas (molestias)?,100.0,,
431,en algún momento desde marzo de 2020 y [fecha actual] ¿(usted/nombre) presentó alguno de los siguientes síntomas (molestias)?,101.0,,
432,en algún momento desde marzo de 2020 y [fecha actual] ¿(usted/nombre) presentó alguno de los siguientes síntomas (molestias)?,102.0,,
433,en algún momento desde marzo de 2020 y [fecha actual] ¿(usted/nombre) presentó alguno de los siguientes síntomas (molestias)?,103.0,,
434,en algún momento desde marzo de 2020 y [fecha actual] ¿(usted/nombre) presentó alguno de los siguientes síntomas (molestias)?,104.0,,
435,en algún momento desde marzo de 2020 y [fecha actual] ¿(usted/nombre) presentó alguno de los siguientes síntomas (molestias)?,105.0,,
436,en algún momento desde marzo de 2020 y [fecha actual] ¿(usted/nombre) presentó alguno de los siguientes síntomas (molestias)?,106.0,,
437,en algún momento desde marzo de 2020 y [fecha actual] ¿(usted/nombre) presentó alguno de los siguientes síntomas (molestias)?,107.0,,
438,en algún momento desde marzo de 2020 y [fecha actual] ¿(usted/nombre) presentó alguno de los siguientes síntomas (molestias)?,108.0,,
439,en algún momento desde marzo de 2020 y [fecha actual] ¿(usted/nombre) presentó alguno de los siguientes síntomas (molestias)?,109.0,,
440,en algún momento desde marzo de 2020 y [fecha actual] ¿(usted/nombre) presentó alguno de los siguientes síntomas (molestias)?,110.0,,
441,en algún momento desde marzo de 2020 y [fecha actual] ¿(usted/nombre) presentó alguno de los siguientes síntomas (molestias)?,111.0,,
442,en algún momento desde marzo de 2020 y [fecha actual] ¿(usted/nombre) presentó alguno de los siguientes síntomas (molestias)?,112.0,,
443,en algún momento desde marzo de 2020 y [fecha actual] ¿(usted/nombre) presentó alguno de los siguientes síntomas (molestias)?,113.0,,
444,¿en qué mes (usted/nom-bre) presentó estos síntomas (molestias)?,115.0,,
445,"cuándo (usted/nombre) tuvo estos síntomas (molestias), ¿presentó dificultad para respirar o dolor de pecho (tórax)?",116.0,,
446,cuando (usted/nombre) presentó estos síntomas (molestias) ¿(usted/nombre) qué hizo para no contagiar a otros?,117.0,,
447,cuando (usted/nombre) presentó estos síntomas (molestias) ¿(usted/nombre) qué hizo para no contagiar a otros?,118.0,,
448,cuando (usted/nombre) presentó estos síntomas (molestias) ¿(usted/nombre) qué hizo para no contagiar a otros?,119.0,,
449,cuando (usted/nombre) presentó estos síntomas (molestias) ¿(usted/nombre) qué hizo para no contagiar a otros?,120.0,,
450,cuando (usted/nombre) presentó estos síntomas (molestias) ¿(usted/nombre) qué hizo para no contagiar a otros?,121.0,,
451,cuando (usted/nombre) presentó estos síntomas (molestias) ¿(usted/nombre) qué hizo para no contagiar a otros?,122.0,,
452,cuando (usted/nombre) presentó estos síntomas (molestias) ¿(usted/nombre) qué hizo para no contagiar a otros?,123.0,,
453,cuando (usted/nombre) presentó estos síntomas (molestias) ¿(usted/nombre) qué hizo para no contagiar a otros?,124.0,,
454,cuando (usted/nombre) presentó estos síntomas (molestias) ¿(usted/nombre) qué hizo para no contagiar a otros?,125.0,,
455,cuando (usted/nombre) presentó estos síntomas (molestias) ¿(usted/nombre) qué hizo para no contagiar a otros?,126.0,,
456,cuando (usted/nombre) presentó síntomas ¿cómo se cuidó a sí mismo/cómo lo cuidaron?,128.0,,
457,cuando (usted/nombre) presentó síntomas ¿cómo se cuidó a sí mismo/cómo lo cuidaron?,129.0,,
458,cuando (usted/nombre) presentó síntomas ¿cómo se cuidó a sí mismo/cómo lo cuidaron?,130.0,,
459,cuando (usted/nombre) presentó síntomas ¿cómo se cuidó a sí mismo/cómo lo cuidaron?,131.0,,
460,cuando (usted/nombre) presentó síntomas ¿cómo se cuidó a sí mismo/cómo lo cuidaron?,132.0,,
