,0,1
Dolor,0,1
a0409a_Value,3.06(3.97),3.16(4.03)
a0801_Value,20.65(17.11),20.30(15.99)
a0802_Value,25.82(19.04),25.44(18.18)
a1308_Value,4.28(1.40),4.36(1.35)
aedad_Value,43.71(16.81),49.33(17.69)
completa_Value,1.00(0.01),1.00(0.00)
edad_Value,43.61(15.74),49.24(17.67)
est_sel_x_Value,158.69(85.37),155.21(81.02)
fech_nac_Value,16856412.65(14050565.60),16701066.62(12606595.54)
municipio_x_Value,36.90(59.40),42.61(78.55)
region_x_Value,4.76(2.44),5.01(2.35)
resultado_1_Value,1.19(0.74),1.20(0.76)
resultado_2_Value,0.12(0.48),0.15(0.57)
id_int_Value,2.79(1.73),1.68(0.97)
municipio1_Value,36.90(59.40),42.61(78.55)
h0303_Value,34.07(29.78),53.65(18.12)
h0304a_Value,2089.38(897.52),2003.80(538.12)
int_nuevo_Value,1.27(0.45),1.19(0.40)
h0307_Value,1.78(0.84),2.37(0.72)
intp3_Value,2.79(1.73),1.68(0.97)
intp4_Value,2.79(1.73),1.68(0.97)
h1205_Value,39.72(46.98),42.77(47.60)
h1602_Value,2.05(1.21),1.64(0.89)
region_y_Value,4.76(2.44),5.01(2.35)
est_sel_y_Value,158.69(85.37),155.21(81.02)
region_Value,4.76(2.44),5.01(2.35)
municipio_y_Value,36.90(59.40),42.61(78.55)
h0204_Value,4.59(2.05),3.90(1.90)
h305i_Value,1.82(0.91),1.74(0.81)
h0809_Value,1.67(4.14),1.81(3.53)
h0812_Value,1.44(4.41),1.42(3.45)
a0701h_Frequency_1,20752,197
a0701h_Frequency_2,62545,414
a0701h_Frequency_9,1015,10
a0702h_Frequency_1,18462,179
a0702h_Frequency_2,63993,421
a0702h_Frequency_9,1857,21
a0703h_Frequency_1,2802,32
a0703h_Frequency_2,80011,574
a0703h_Frequency_9,1499,15
A0803A_Frequency_1,27461,153
A0803A_Frequency_10,99,0
A0803A_Frequency_11,191,3
A0803A_Frequency_14,27017,140
A0803A_Frequency_2,129,1
A0803A_Frequency_3,573,5
A0803A_Frequency_4,392,5
A0803A_Frequency_5,278,1
A0803A_Frequency_6,48,0
A0803A_Frequency_7,163,3
A0803A_Frequency_77,29,2
A0803A_Frequency_8,44,1
A0803A_Frequency_88,531,1
A0803A_Frequency_9,5,0
A0803A_Frequency_99,247,0
A0804A_Frequency_1,19410,113
A0804A_Frequency_10,6689,44
A0804A_Frequency_11,428,3
A0804A_Frequency_12,344,4
A0804A_Frequency_13,367,1
A0804A_Frequency_14,22468,112
A0804A_Frequency_2,100,1
A0804A_Frequency_3,627,2
A0804A_Frequency_4,758,6
A0804A_Frequency_5,1123,5
A0804A_Frequency_6,207,1
A0804A_Frequency_7,2702,15
A0804A_Frequency_77,140,2
A0804A_Frequency_8,1247,5
A0804A_Frequency_88,284,0
A0804A_Frequency_9,36,0
A0804A_Frequency_99,277,1
a0901_Frequency_1,7003,71
a0901_Frequency_2,139,1
a0901_Frequency_3,32890,175
a0901_Frequency_4,32966,189
a0901_Frequency_5,2803,24
a0902_Frequency_1,21217,116
a0902_Frequency_2,7475,37
a0902_Frequency_3,2191,8
a0902_Frequency_4,16041,115
a0902_Frequency_5,134,1
a0902_Frequency_6,891,9
a0902_Frequency_9,414,6
a0906_Frequency_1,44692,247
a0906_Frequency_2,21552,125
a0906_Frequency_9,1010,4
a0908_Frequency_1,31417,161
a0908_Frequency_2,35522,214
a0908_Frequency_9,315,1
a1001a_Frequency_1,12778,87
a1001a_Frequency_2,43766,330
a1001b_Frequency_1,5491,35
a1001b_Frequency_2,51053,382
a1001c_Frequency_1,8947,66
a1001c_Frequency_2,47597,351
a1001d_Frequency_1,6108,53
a1001d_Frequency_2,50436,364
a1001g_Frequency_1,9067,78
a1001g_Frequency_2,72557,512
a1001h_Frequency_1,6571,62
a1001h_Frequency_2,70422,443
a1001i_Frequency_1,5620,46
a1001i_Frequency_2,69298,428
a1210_Frequency_1,3572,42
a1210_Frequency_2,1882,24
a1210_Frequency_3,84758,586
a1210_Frequency_8,1357,12
a1210_Frequency_9,327,3
a1211_Frequency_1,6975,78
a1211_Frequency_2,84551,587
a1211_Frequency_9,370,2
a1213_Frequency_1,1643,16
a1213_Frequency_2,1595,17
a1213_Frequency_3,88658,634
a1301_Frequency_1,6899,37
a1301_Frequency_2,8434,48
a1301_Frequency_3,76298,579
a1301_Frequency_9,265,3
a1305_Frequency_1,4284,55
a1305_Frequency_2,10439,77
a1305_Frequency_3,61420,445
a1305_Frequency_9,155,2
a1307_Frequency_1,153,0
a1307_Frequency_2,1073,7
a1307_Frequency_3,43227,304
a1307_Frequency_4,47173,355
a1307_Frequency_9,270,1
a1401_Frequency_1,33492,304
a1401_Frequency_2,58404,363
a1402_Frequency_1,833,6
a1402_Frequency_2,91063,661
a1403b_Frequency_1,42155,215
a1403b_Frequency_2,14453,117
a1403b_Frequency_3,1653,30
a1403b_Frequency_4,143,1
a1404b_Frequency_1,81559,549
a1404b_Frequency_2,8501,91
a1404b_Frequency_3,987,21
a1404b_Frequency_4,16,0
a1405_Frequency_1,74612,403
a1405_Frequency_2,13395,156
a1405_Frequency_3,3342,95
a1405_Frequency_4,547,13
a1406_Frequency_1,69823,419
a1406_Frequency_2,20276,217
a1406_Frequency_3,1732,31
a1406_Frequency_4,65,0
a1407_Frequency_1,87931,604
a1407_Frequency_2,3244,49
a1407_Frequency_3,553,7
a1407_Frequency_4,168,7
a1408_Frequency_1,86922,612
a1408_Frequency_2,4616,49
a1408_Frequency_3,358,6
asexo_Frequency_1,35347,250
asexo_Frequency_2,56549,417
entidad_x_Frequency_1,2319,10
entidad_x_Frequency_2,2006,13
entidad_x_Frequency_3,2260,8
entidad_x_Frequency_4,2510,17
entidad_x_Frequency_5,2127,16
entidad_x_Frequency_6,2241,12
entidad_x_Frequency_7,3109,41
