,0,1
Dolor,0,1
a0409a_Value,3.01(3.37),3.16(4.03)
a0801_Value,20.32(16.12),20.30(15.99)
a0802_Value,26.57(19.73),25.44(18.18)
a1308_Value,4.25(1.39),4.36(1.35)
aedad_Value,43.34(15.66),49.33(17.69)
completa_Value,1.00(0.00),1.00(0.00)
edad_Value,43.31(15.63),49.24(17.67)
est_sel_x_Value,159.18(84.18),155.21(81.02)
fech_nac_Value,16862486.84(13637631.65),16701066.62(12606595.54)
municipio_x_Value,36.53(57.33),42.61(78.55)
region_x_Value,4.79(2.42),5.01(2.35)
resultado_1_Value,1.17(0.68),1.20(0.76)
resultado_2_Value,0.10(0.41),0.15(0.57)
id_int_Value,2.76(1.72),1.68(0.97)
municipio1_Value,36.53(57.33),42.61(78.55)
h0303_Value,34.90(30.55),53.65(18.12)
h0304a_Value,2070.90(817.18),2003.80(538.12)
int_nuevo_Value,1.28(0.45),1.19(0.40)
h0307_Value,1.78(0.81),2.37(0.72)
intp3_Value,2.76(1.72),1.68(0.97)
intp4_Value,2.76(1.72),1.68(0.97)
h1205_Value,39.06(46.84),42.77(47.60)
h1602_Value,2.04(1.22),1.64(0.89)
region_y_Value,4.79(2.42),5.01(2.35)
est_sel_y_Value,159.18(84.18),155.21(81.02)
region_Value,4.79(2.42),5.01(2.35)
municipio_y_Value,36.53(57.33),42.61(78.55)
h0204_Value,4.60(2.28),3.90(1.90)
h305i_Value,1.82(0.94),1.74(0.81)
h0809_Value,1.70(4.43),1.81(3.53)
h0812_Value,1.48(4.79),1.42(3.45)
a0701h_Frequency_1,458,197
a0701h_Frequency_2,1384,414
a0701h_Frequency_9,19,10
a0702h_Frequency_1,392,179
a0702h_Frequency_2,1437,421
a0702h_Frequency_9,32,21
a0703h_Frequency_1,70,32
a0703h_Frequency_2,1770,574
a0703h_Frequency_9,21,15
A0803A_Frequency_1,622,153
A0803A_Frequency_10,1,0
A0803A_Frequency_11,9,3
A0803A_Frequency_14,584,140
A0803A_Frequency_2,2,1
A0803A_Frequency_3,12,5
A0803A_Frequency_4,9,5
A0803A_Frequency_5,4,1
A0803A_Frequency_6,0,0
A0803A_Frequency_7,2,3
A0803A_Frequency_77,0,2
A0803A_Frequency_8,1,1
A0803A_Frequency_88,17,1
A0803A_Frequency_9,1,0
A0803A_Frequency_99,2,0
A0804A_Frequency_1,448,113
A0804A_Frequency_10,129,44
A0804A_Frequency_11,10,3
A0804A_Frequency_12,11,4
A0804A_Frequency_13,11,1
A0804A_Frequency_14,502,112
A0804A_Frequency_2,2,1
A0804A_Frequency_3,11,2
A0804A_Frequency_4,17,6
A0804A_Frequency_5,22,5
A0804A_Frequency_6,3,1
A0804A_Frequency_7,54,15
A0804A_Frequency_77,4,2
A0804A_Frequency_8,29,5
A0804A_Frequency_88,7,0
A0804A_Frequency_9,1,0
